YYYY-MM,Rep. index (%),SLE (m a.s.l.),Err. index (%),Snow cover (%),Snow covered below - north (%),Snow covered below - south (%),Snow free above - north (%),Snow free above - south (%),Mean snow depth (cm),Mean SWE (mm)
2016-10,99.18242527650544,2574,18.276186993381536,25.412921974465043,55.64420819282532,44.355788826942444,45.917460322380066,54.08254265785217,,
2016-11,98.66007730955357,2262,19.71014156297606,42.833046906539266,44.0371572971344,55.9628427028656,38.798147439956665,61.20184659957886,,
2016-12,99.97986623372222,1970,16.00610125024525,57.76716531979304,46.45952582359314,53.54047417640686,53.91497611999512,46.08502984046936,,
2017-01,99.34626893575582,2008,14.368558864044692,55.92009771040043,47.514644265174866,52.485352754592896,39.250412583351135,60.749584436416626,,
2017-02,91.70745637598371,1803,14.859758559161943,65.39406197707422,47.02167510986328,52.97832489013672,57.24714398384094,42.752858996391296,,
2017-03,99.00594665168276,1838,12.217616737323175,63.906731354951106,56.729888916015625,43.270111083984375,46.31392955780029,53.68606448173523,,
2017-04,95.99019608850229,2099,13.486793892894527,51.409415001094004,61.783820390701294,38.21617662906647,31.3457190990448,68.6542809009552,,
2017-05,93.92895040416481,2178,12.1576936154389,47.329348354218695,55.29264807701111,44.70734894275665,39.019766449928284,60.980236530303955,,
2017-06,97.5939122065067,2558,15.17792291438321,26.270250614028512,56.73797130584717,43.26202571392059,39.587414264678955,60.412585735321045,,
2017-07,99.18509608223617,2975,7.733664170832951,8.526752741941614,55.469316244125366,44.530680775642395,38.936999440193176,61.06300354003906,,
2017-08,97.07063972987882,3129,3.958447784207115,5.179616821556278,47.32657074928284,52.67343521118164,36.96844279766083,63.031554222106934,,
2017-09,99.89018879514818,3085,5.229059599029881,5.994212569428108,56.88921809196472,43.11077296733856,38.2472038269043,61.7527961730957,,
2017-10,100.0,2887,13.76974316093967,11.168179609630926,41.624289751052856,58.375710248947144,42.40031838417053,57.59967565536499,0.27619555592536926,0.37632474303245544
2017-11,99.98089346669556,2368,28.138589136600405,36.90806983951539,50.04265904426575,49.95734691619873,52.04826593399048,47.95173108577728,12.27907657623291,21.644624710083008
2017-12,99.94771384165615,1774,25.362798141530103,66.59243196379208,41.54371917247772,58.45628380775452,53.03364396095276,46.96635603904724,52.72847366333008,99.04037475585938
2018-01,99.80143586625016,1535,12.368804372725322,75.67296600167029,40.011680126190186,59.988319873809814,62.5843346118927,37.41566240787506,138.7277069091797,340.402099609375
2018-02,99.0590545964053,1625,12.156442445677353,72.4544396495492,50.44203996658325,49.55795705318451,57.34241604804993,42.65758395195007,137.05343627929688,450.7346496582031
2018-03,97.79288723344588,1541,10.29421441844746,75.46248596542951,55.07046580314636,44.929543137550354,53.1733512878418,46.82665169239044,136.0654754638672,490.737060546875
2018-04,100.0,1796,11.057431568307399,65.68363895226345,58.10266137123108,41.89733564853668,41.130131483078,58.869868516922,117.07167053222656,475.393798828125
2018-05,98.83799406053895,2035,11.936643351902282,54.59424811168899,57.7212929725647,42.27871000766754,39.11013305187225,60.88986396789551,56.507564544677734,255.5757293701172
2018-06,99.38643374501407,2526,14.911260938747123,28.022607343277635,55.80751895904541,44.19248402118683,40.57661592960358,59.42338705062866,16.041772842407227,78.35729217529297
2018-07,99.8893670087695,2890,9.549703694648835,11.062374613375189,55.80911040306091,44.190892577171326,39.28456902503967,60.71543097496033,,
2018-08,99.9982537039453,3102,5.000480488223288,5.667038867414012,50.227558612823486,49.77244436740875,37.82506883144379,62.174928188323975,,
2018-09,100.0,3163,4.1695225883394675,4.620083020968907,47.426217794418335,52.573782205581665,36.915791034698486,63.084208965301514,,
2018-10,100.0,2692,17.218894101525546,19.405868992869976,46.6139554977417,53.3860445022583,42.2147661447525,57.785236835479736,4.644180774688721,6.154673099517822
2018-11,95.30040914689329,1946,14.199653514318086,58.950126811910565,45.779985189437866,54.220014810562134,56.55962824821472,43.44037473201752,49.93672180175781,118.09916687011719
2018-12,99.95469902587497,1892,12.865428371558385,61.497459139240405,43.465977907180786,56.53402805328369,53.88309955596924,46.11689746379852,82.30879211425781,206.24737548828125
2019-01,100.0,2044,14.278101755643874,54.151202530280266,44.59117949008942,55.40882349014282,59.76378321647644,40.23621678352356,88.05174255371094,265.0044860839844
2019-02,100.0,1859,20.024340285303683,62.9873578437969,42.457011342048645,57.542985677719116,53.868430852890015,46.131569147109985,98.39191436767578,315.876953125
2019-03,100.0,2039,13.359430358226954,54.400717419508595,58.50895047187805,41.49105250835419,35.561785101890564,64.43821787834167,85.81465911865234,327.0071105957031
2019-04,100.0,1867,15.609865134582929,62.642207564749064,47.07225859165192,52.92774438858032,37.03612685203552,62.96387314796448,80.77352142333984,325.41064453125
2019-05,100.0,2130,11.829505520863615,49.84175476045441,63.30361366271973,36.69638633728027,25.9019672870636,74.0980327129364,59.42354202270508,272.9097595214844
2019-06,100.0,2556,14.674260315216712,26.380061818880336,63.48734498023987,36.512649059295654,36.2873375415802,63.7126624584198,24.97153091430664,121.34371185302734
2019-07,99.87488302384516,2936,8.718505807461616,9.62445389727054,59.6637487411499,40.33624529838562,38.67267668247223,61.32732629776001,,
2019-08,99.18067898045074,3119,4.793212352681951,5.354862766810924,51.80102586746216,48.198968172073364,37.3064786195755,62.69351840019226,,
2019-09,100.0,3149,4.142125386111195,4.842889852889966,50.18356442451477,49.81643259525299,35.99017560482025,64.00982737541199,,
2019-10,99.98253703945294,2550,14.077554035022482,26.70970088003049,50.79272985458374,49.20727014541626,44.50600743293762,55.493998527526855,5.827861309051514,11.110316276550293
2019-11,95.35772874680659,1884,14.871236860406228,61.86993381537953,46.297428011894226,53.70257496833801,51.97300314903259,48.026999831199646,46.7626838684082,91.90991973876953
2019-12,99.89933116861106,1747,14.648721249033118,67.70348714777465,38.66502344608307,61.33497357368469,72.75317907333374,27.24682092666626,104.15010833740234,257.0314636230469
2020-01,100.0,1805,12.5962409436573,65.3102397664483,51.04365944862366,48.95634055137634,49.417173862457275,50.582826137542725,106.1594467163086,335.99627685546875
2020-02,100.0,1775,13.793748054677557,66.55113719826315,43.81069540977478,56.18929862976074,45.83725929260254,54.16274070739746,126.26457977294922,413.9134216308594
