YYYY-MM,Rep. index (%),SLE (m a.s.l.),Err. index (%),Snow cover (%),Snow covered below - north (%),Snow covered below - south (%),Snow free above - north (%),Snow free above - south (%),Mean snow depth (cm),Mean SWE (mm)
2016-10,99.2279449500479,2566,2.684905767799713,4.115060900506363,,,,,,
2016-11,88.98070771178323,1985,9.747929532468865,17.467732140413304,,,,,,
2016-12,100.0,2100,5.297295722423704,13.792425071848912,,,,,,
2017-01,99.93616993978377,1828,16.350376244525794,23.179186054468317,,,,,,
2017-02,99.96525164226084,1794,11.241448696455453,24.483372108936635,,,,,,
2017-03,99.99925157383332,1739,9.380667189852197,26.55587108252361,,,,,,
2017-04,58.49827220473518,1925,7.673212544477898,19.59048258519228,,,,,,
2017-05,79.6698585260709,2003,7.04452761478719,16.856054126180375,,,,,,
2017-06,98.44616035992884,2489,5.069957264865882,5.3092283084713285,,,,,,
2017-07,99.8227299165184,2914,0.7816203707168639,0.9382056589571643,,,,,,
2017-08,99.98503147666621,3049,0.4337640002469806,0.47289841932393595,,,,,,
2017-09,97.03120723279048,2837,1.048502325734313,1.3212929382783634,,,,,,
2017-10,100.0,2919,0.8794414415329478,0.9167151361707951,,,,,0.09108056128025055,0.13687632977962494
2017-11,100.0,2059,11.438383142876694,15.048391097577666,,,,,8.413670539855957,17.090944290161133
2017-12,99.98032708361845,1692,10.06762832301218,28.27532674148077,,,,,25.052047729492188,54.085235595703125
2018-01,100.0,1619,9.994731614376626,30.959396811276857,,,,,37.333824157714844,101.74111938476562
2018-02,99.93723912002189,1576,11.482425884425892,32.563915594635276,,,,,33.20613479614258,110.79859924316406
2018-03,97.01420726700424,1383,16.43692424644177,40.00968677295744,,,,,37.197322845458984,127.44657897949219
2018-04,100.0,1725,6.909963262967018,27.066618482277267,,,,,30.109004974365234,113.89181518554688
2018-05,69.02114410838922,1840,2.932473382757972,22.734193239359517,,,,,5.606260776519775,24.68006134033203
2018-06,91.3401746612837,2410,4.882201998084029,6.706433043656768,,,,,0.5525174140930176,2.695636749267578
2018-07,99.75120175858765,2847,1.2371319480677774,1.2662301560147804,,,,,,
2018-08,99.48518971534145,2957,0.6927706910432633,0.759652559189818,,,,,,
2018-09,99.99850314766661,2977,0.575000220518424,0.6809608936636102,,,,,,
2018-10,100.0,2774,2.2180331814741003,1.7567700492678255,,,,,1.8730530738830566,2.906925678253174
2018-11,67.9588066237854,2010,7.6790585547249215,16.631098604078282,,,,,14.633601188659668,37.32491683959961
2018-12,100.0,1833,9.532914179040645,22.991651840700698,,,,,14.675251007080078,44.23332595825195
2019-01,100.0,1937,8.975304074859725,19.165590358560287,,,,,13.113473892211914,44.0076904296875
2019-02,100.0,1673,11.832013608526072,28.987080026002467,,,,,24.95614242553711,70.83547973632812
2019-03,100.0,1873,10.177749076228276,21.50923344053647,,,,,15.560330390930176,61.123878479003906
2019-04,98.90131038729984,1797,7.2045991322533185,24.368328315314084,,,,,22.222627639770508,73.71510314941406
2019-05,87.85400557684412,1887,6.293458701844122,21.001052073354316,,,,,16.139453887939453,66.34637451171875
2019-06,99.94461646366499,2319,4.818475915645956,8.519655809497742,,,,,4.535607814788818,21.833396911621094
2019-07,99.93702528397426,2686,2.5161492992592716,2.584850143697824,,,,,,
2019-08,96.38007646777062,2831,0.7550500723835021,1.3553997878746407,,,,,,
2019-09,99.94247810318872,2763,2.100524793755132,1.8427321404133021,,,,,,
2019-10,99.98118242780895,2767,1.9261935526293281,1.810977487340906,,,,,0.387398362159729,0.7627871036529541
2019-11,97.28460294922677,1606,8.353233361417132,31.44330778705351,,,,,33.03410339355469,68.64688873291016
2019-12,99.6528371766799,1793,8.251235705060216,24.5215418434378,,,,,50.35371780395508,146.8933868408203
2020-01,100.0,1737,10.10308715101957,26.62633006021623,,,,,47.20881652832031,163.89744567871094
2020-02,100.0,1807,8.485924509460109,23.97743602025455,,,,,41.18233108520508,163.75411987304688
2020-03,99.87298138771041,1669,9.343866540645955,29.12863948953059,,,,,44.36899948120117,174.89529418945312
2020-04,100.0,1880,9.408040342308745,21.25701382236212,,,,,26.77145767211914,121.12838745117188
2020-05,97.62994816614206,2081,8.917927051970713,14.374379875461884,,,,,7.825466632843018,37.2237663269043
