YYYY-MM,Rep. index (%),SLE (m a.s.l.),Err. index (%),Snow cover (%),Snow covered below - north (%),Snow covered below - south (%),Snow free above - north (%),Snow free above - south (%),Mean snow depth (cm),Mean SWE (mm)
2016-10,95.59085498875119,2383,8.21840728517852,8.776739358539599,,,,,,
2016-11,99.97862783905853,1929,14.61043893643942,25.14588205068158,,,,,,
2016-12,100.0,1951,7.886933310900143,24.236655757012173,,,,,,
2017-01,99.6581022657901,1818,9.96376963993593,29.80427420482488,,,,,,
2017-02,98.01471950743989,1697,13.055297624393367,34.873853093677134,,,,,,
2017-03,99.76587252415452,1622,10.616236135094791,38.031760395339504,,,,,,
2017-04,95.19552685218763,1870,9.67080903860517,27.590266117508232,,,,,,
2017-05,95.04813851888652,1996,7.709688182445499,22.383700771557745,,,,,,
2017-06,96.0685455221344,2262,7.6692703566990925,12.45184158681474,,,,,,
2017-07,95.6146144655425,2692,2.5763419557118805,2.7622381199774,,,,,,
2017-08,99.68163437916715,2906,1.1941904526691896,1.1174911811415689,,,,,,
2017-09,96.36747157104709,2723,2.2154784891473756,2.420795112596047,,,,,,
2017-10,100.0,2617,4.947187457724614,3.743822820238527,,,,,0.1338062882423401,0.18889790773391724
2017-11,99.9894276012364,2058,16.629390245427437,19.889126231030787,,,,,11.543031692504883,22.992525100708008
2017-12,99.01131019304292,1415,25.83622785906651,46.78690022952337,,,,,34.40241622924805,71.15995025634766
2018-01,99.66873150540727,1251,18.730166805168878,53.68249153923894,,,,,72.88581085205078,186.1645050048828
2018-02,99.98419824270816,1450,13.529439583288335,45.28760903496736,,,,,72.40589904785156,238.02484130859375
2018-03,99.96259871835244,1388,11.026141108555798,47.93059504415966,,,,,70.6290512084961,254.17030334472656
2018-04,99.85192957645607,1575,8.223802903203438,40.027613286663204,,,,,65.9113998413086,252.65057373046875
2018-05,86.1142910410857,1919,7.62105197641332,25.5624118256259,,,,,24.107187271118164,106.20205688476562
2018-06,98.35127420141443,2308,7.467544156817094,10.96585115199358,,,,,4.392823219299316,21.24860191345215
2018-07,98.08918102561363,2729,2.213518119158892,2.359691195010737,,,,,,
2018-08,97.38270605662032,2861,1.4303695280731292,1.3421262344412372,,,,,,
2018-09,99.62001889389973,2903,1.2275818963018204,1.1288025110015472,,,,,,
2018-10,99.99289489330403,2551,5.5048721137635575,4.848467968473789,,,,,4.233056545257568,6.548063278198242
2018-11,75.2002787475459,1576,12.271344593127486,39.98532369160881,,,,,39.284324645996094,102.2514419555664
2018-12,99.9948843231789,1651,10.372324074716166,36.80661263754065,,,,,46.0583610534668,136.14837646484375
2019-01,99.8627861794875,1838,11.021542683502169,28.948819358630544,,,,,48.40937423706055,158.49790954589844
2019-02,100.0,1528,17.16450425112744,41.99817199814927,,,,,53.939308166503906,184.12271118164062
2019-03,99.99994315914643,1676,11.307826189764326,35.756136822755444,,,,,44.43321228027344,179.20925903320312
2019-04,95.91086899433752,1593,11.79622553995969,39.259522832402475,,,,,49.3357048034668,188.9385223388672
2019-05,82.65597982831788,1898,6.665464577348465,26.43133795411579,,,,,37.69634246826172,165.891357421875
2019-06,99.98937076038284,2238,7.185400369920275,13.257958572112285,,,,,15.607305526733398,75.4560775756836
2019-07,99.9156481733055,2610,3.56575349940715,3.8530140999421363,,,,,,
2019-08,99.53600811232663,2782,1.924011025988775,1.8718261488389116,,,,,,
2019-09,99.92872156962606,2732,2.3514453634347334,2.329508701766273,,,,,,
2019-10,94.44585283448285,2384,5.946476094442215,8.751104133580553,,,,,3.360150098800659,7.169958591461182
2019-11,96.72909308144499,1367,10.338728856623494,48.79611072143548,,,,,40.658809661865234,86.0296630859375
2019-12,99.95498204397435,1648,12.614393923030665,36.93143515197539,,,,,65.97639465332031,189.56629943847656
2020-01,100.0,1672,8.95373779768976,35.92125950236969,,,,,63.37506103515625,221.56658935546875
2020-02,100.0,1668,10.454367025938753,36.085245364912595,,,,,64.5546646118164,240.58587646484375
2020-03,99.39748695218206,1590,11.832393943493372,39.380366487087464,,,,,64.17115783691406,253.48019409179688
2020-04,99.99153071281842,1849,10.845513380905338,28.482610677668024,,,,,36.74222946166992,171.79132080078125
2020-05,99.97550159211231,2197,9.421632946777637,14.69404273750098,,,,,17.06066131591797,79.41387176513672
2020-06,97.90694924907548,2245,7.56483154076228,13.0199659182242,,,,,9.112639427185059,41.71404266357422
2020-07,99.77536494670034,2734,2.1338150216734175,2.307340768874858,,,,,,
2020-08,99.56800951288525,2839,1.4563397588128901,1.4710981311864164,,,,,,
2020-09,99.49559426543996,2801,1.830316552397604,1.7298945374802903,,,,,,
2020-10,99.9570283147028,2105,6.798900754732854,18.059760199806966,,,,,9.793548583984375,22.089635848999023
2020-11,100.0,2295,7.283068303380098,11.38419983425207,,,,,9.786373138427734,31.048717498779297
2020-12,92.74386715610432,1690,21.49890467675175,35.165332990772455,,,,,44.753387451171875,103.8800048828125
2021-01,94.37139131630911,1145,19.24385521952506,58.10459626510119,,,,,60.1363525390625,157.71156311035156
2021-02,99.91365874343062,1311,12.773499998294774,51.14801471950744,,,,,66.92835235595703,209.6674041748047
2021-03,99.97635420491584,1585,10.605850174330898,39.58857453370606,,,,,42.19797134399414,172.56903076171875
2021-04,99.93684981168626,1729,10.994170970466628,33.54235609885306,,,,,26.473730087280273,121.51712036132812
2021-05,77.24132011745594,1907,5.537463806586491,26.061133474829163,,,,,26.077892303466797,112.58255004882812
2021-06,98.33336933254058,2279,6.765986774270191,11.891788656611899,,,,,9.576703071594238,46.335693359375
2021-07,98.9896538278336,2626,2.9612541479612893,3.6098489283793875,,,,,,
2021-08,99.23571788292831,2858,1.3332068387504563,1.3594626947793949,,,,,,
2021-09,99.6361048554594,2675,2.053743311252556,2.9644778769713827,,,,,,
2021-10,100.0,2489,5.613596445855109,6.104537150613484,,,,,1.1114869117736816,2.5542922019958496
2021-11,100.0,1882,11.03540730450441,27.09285180793703,,,,,11.825408935546875,24.003124237060547
2021-12,99.99209912135409,1730,13.296289201715684,33.49955493611657,,,,,18.382434844970703,41.121055603027344
2022-01,100.0,2008,11.394913198332517,21.90231558269264,,,,,17.514137268066406,48.584651947021484
2022-02,100.0,1955,12.052583473635506,24.067326854233904,,,,,20.85295867919922,59.42898941040039
2022-03,99.99988631829287,1997,12.396086961958689,22.34357112893893,,,,,12.864799499511719,50.862213134765625
2022-04,100.0,2072,11.42445282152313,19.34339719592701,,,,,8.389107704162598,32.287288665771484
2022-05,93.67185093145108,2068,9.334657914690974,19.49692434141345,,,,,5.805474758148193,22.212839126586914
2022-06,99.99556641342173,2568,5.386671274565196,4.544198879325731,,,,,0.8698321580886841,3.9707908630371094
2022-07,99.96254187749886,2888,1.601917000417212,1.1980915115006099,,,,,,
2022-08,99.8916613330999,2974,1.0379192084001687,0.8648335870330098,,,,,,
2022-09,100.0,2978,1.1177905548122036,0.8519875541267028,,,,,,
2022-10,100.0,2636,3.8631688605341448,3.464393184099567,,,,,,
2022-11,98.16381306634806,2172,10.745866817332823,15.599972261663458,,,,,,
2022-12,99.99761268415016,1574,15.39694127998781,40.07229019756744,,,,,,
2023-01,100.0,1704,11.753919461057762,34.58220267402112,,,,,,
2023-02,100.0,1816,10.983499100209288,29.889137599201497,,,,,,
2023-03,99.9418518068002,1927,12.59687784559523,25.228812856036896,,,,,,
2023-04,99.9728869128482,1921,10.001656342472964,25.47862840746707,,,,,,
2023-05,98.14926180783472,2036,8.573558032806266,20.76595323816659,,,,,,
2023-06,96.78326241489503,2376,6.311197989197964,8.967326740552197,,,,,,
